@relation 'Gestures-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute Max_AcclZ_wrist numeric
@attribute Max_GyroY_wrist numeric
@attribute Min_AcclX_wrist numeric
@attribute Min_AcclY_wrist numeric
@attribute Min_GyroX_wrist numeric
@attribute Min_GyroY_wrist numeric
@attribute Mean_AcclZ_wrist numeric
@attribute Var_AcclX_wrist numeric
@attribute Var_AcclZ_wrist numeric
@attribute Var_GyroY_wrist numeric
@attribute Var_GyroZ_wrist numeric
@attribute Median_GyroY_wrist numeric
@attribute Min_AcclZ_bicep numeric
@attribute Mean_AcclX_bicep numeric
@attribute Var_AcclX_bicep numeric
@attribute Var_AcclZ_bicep numeric
@attribute Var_GyroX_bicep numeric
@attribute Var_GyroZ_bicep numeric
@attribute result {putt,iron,drive}

@data
0.24,0.3,-0.24,-0.32,-0.18,-0.13,-0.000847,0.007898,0.009831,0.007731,0.001978,0.145,-0.53,0.031271,0.011901,0.030153,0.006738,0,putt
12.52,1.94,-5.13,-5.78,-3.2,-0.95,1.033009,1.773887,6.911855,0.18679,0.799655,0,-18.32,-1.794337,15.676153,14.607596,1.811057,2.245458,iron
14.18,2.85,-11.05,-5.84,-3.46,-0.77,1.06875,2.624293,8.393528,0.272272,1.043804,1.425,-26.469999,-1.473928,18.851391,19.515011,1.780745,1.826887,iron
22.209999,5.99,-18.879999,-2.86,-2.49,-1.93,1.515179,10.444295,21.389317,1.694315,3.298261,2.995,-36.110001,-1.471786,64.691551,49.849461,19.848513,18.726765,drive
10.85,1.78,-2.63,-5.55,-3.37,-1.39,1.075893,1.109148,5.156993,0.198636,0.757044,0.885,-21.450001,-1.144643,11.868127,16.547165,1.873544,1.738736,iron
0.58,0.69,-0.45,-0.55,-0.38,-0.28,0.036218,0.022716,0.019262,0.031662,0.00547,-0.02,-1.03,0.040252,0.037174,0.091266,0.018725,0,putt
25.66,5.21,-19.549999,-4.82,-2.76,-2.14,1.916754,7.936329,25.057997,1.238163,2.032309,2.6,-34.709999,-3.125175,52.998932,44.06987,3.169324,4.404346,drive
18.59,2.89,-9.66,-6,-3.6,-1.5,1.153125,2.790708,12.465306,0.381445,0.840529,1.44,-26.41,-2.037768,26.973545,24.891459,2.341351,2.549147,iron
26.469999,5.36,-14.57,-5.23,-3.12,-1.87,1.850796,5.579307,26.643965,1.282508,1.734115,-0.03,-31.950001,-2.734071,54.845226,38.878471,3.741725,4.078436,drive
0.5,0.34,-0.4,-0.51,-0.15,-0.21,0.027034,0.023518,0.014769,0.012823,0.005762,0.165,-0.75,0.022034,0.03016,0.050481,0.009159,0,putt
