wrist-orientation, wrist-ax, wrist-ay, wrist-az, wrist-gx, wrist-gy, wrist-gz, wrist-positionx, wrist-positiony, wrist-positionz, bicep-orientation, bicep-ax, bicep-ay, bicep-az, bicep-gx, bicep-gy, bicep-gz
254.87,-65.62,-88.81,-3.84,-1.92,2.10,1.28,-1.90,-0.01,-0.06,0.00,-0.01,352.12,79.81,92.75,2.30,3.13,0.28,0.00,0.00,0.00,0.4400,-0.3246,0.6199,0.5627,0.7024,-0.0768,-0.7060,0.0482
263.50,-64.25,-74.94,-4.88,-2.18,1.41,1.83,-2.82,0.07,-0.06,0.00,-0.01,352.12,79.81,92.75,2.42,3.69,0.14,0.00,0.00,0.00,0.5078,-0.2499,0.6102,0.5544,0.7024,-0.0768,-0.7060,0.0482
273.12,-58.06,-61.94,-5.98,-0.68,-0.20,2.16,-3.73,0.65,-0.06,0.00,-0.01,353.19,80.87,92.62,2.26,2.62,0.65,0.00,0.00,0.00,0.5947,-0.1174,0.5834,0.5405,0.7033,-0.0703,-0.7062,0.0417
280.62,-43.88,-54.81,-6.09,-0.48,-1.90,1.94,-4.43,1.59,-0.06,0.00,-0.01,353.19,80.87,92.62,0.97,2.30,1.65,0.00,0.00,0.00,0.6544,0.0287,0.5314,0.5372,0.7033,-0.0703,-0.7062,0.0417
283.06,-26.62,-54.56,-6.30,0.80,-4.08,1.63,-4.71,2.59,-0.06,0.00,-0.01,353.19,80.87,92.62,-0.22,0.65,3.13,0.00,0.00,0.00,0.6853,0.2132,0.4330,0.5453,0.7033,-0.0703,-0.7062,0.0417
280.69,-3.75,-55.63,-6.59,0.90,-4.24,0.29,-4.55,3.34,-0.06,0.00,-0.01,353.19,80.87,92.62,-1.57,-0.58,4.87,0.00,0.00,0.00,0.6779,0.3533,0.3062,0.5674,0.7033,-0.0703,-0.7062,0.0417
275.75,16.62,-55.13,-7.39,1.48,-4.22,-0.94,-3.97,3.56,-0.06,0.00,-0.01,353.19,80.87,92.62,-2.73,-1.09,6.01,0.00,0.00,0.00,0.6482,0.4512,0.1554,0.5934,0.7033,-0.0703,-0.7062,0.0417
270.75,35.63,-51.38,-4.89,0.58,-4.38,-1.60,-3.23,3.30,-0.07,0.00,-0.02,353.19,80.87,92.62,-5.25,-1.47,6.82,0.00,0.00,0.00,0.6124,0.5003,-0.0042,0.6120,0.7033,-0.0703,-0.7062,0.0417
265.37,51.94,-43.44,-3.73,0.62,-4.49,-2.06,-2.44,3.17,-0.07,0.00,-0.02,353.19,80.87,92.62,-5.92,-1.94,6.10,0.00,0.00,0.00,0.5648,0.5071,-0.1717,0.6279,0.7033,-0.0703,-0.7062,0.0417
260.12,66.62,-23.94,-3.84,-1.05,-3.57,-2.16,-1.69,2.61,-0.07,0.00,-0.02,353.19,80.87,92.62,-6.58,-2.61,6.40,0.00,0.00,0.00,0.5264,0.4846,-0.3000,0.6309,0.7033,-0.0703,-0.7062,0.0417
