x,y,z
0.0,0.0,0.0
-0.0012099679987083315,-0.016119402482765742,0.0010968964006931653
0.002933083326541287,-0.02767507362802901,-0.00421837248206316
0.007680523357739983,-0.039599849479675306,-0.01384518343775451
0.011031508514647865,-0.05040850786682359,-0.01904890250005451
0.0037261830923171146,-0.056229725405157895,-0.01896644163986707
0.003241611254177062,-0.05846278588694239,-0.025116930479623534
0.006169804109681031,-0.06339737903410697,-0.030349664591550942
0.013419916036161795,-0.06778181512896937,-0.03650035539063513
0.018124413659314893,-0.07146327820717452,-0.04114228522571087
0.02233533968192584,-0.07778964111129696,-0.04456554805435518
0.025824562812677716,-0.08266331892239635,-0.0467339091488346
0.027279724302042674,-0.08733786139855945,-0.04741957086475534
0.027816751046714216,-0.09203956711643531,-0.04794760326980167
0.02316596407556138,-0.09336701600023226,-0.046079658085264125
0.003975163329341234,-0.09270418772579309,-0.02844306976824858
-0.027371157861520917,-0.09409551233926841,-0.0027690401447867112
-0.1065484883829135,-0.09730093783235493,0.07854675102436647
-0.28483790668813197,-0.0824057224845683,0.274429499610184
-0.5982104052616831,-0.01823343128930301,0.5962294522772948
-1.0611135877121847,0.11712263213111511,1.0591822798331376
-1.7190226986365702,0.35847105727264583,1.7194005163811166
-2.4516529673090424,0.6439850497751376,2.242038927581847
-3.3948440654534333,0.9899753026867235,2.657957576688653
-4.295890364408252,1.2461178552685148,2.7023201602715923
-5.2190112309028125,1.373137058486338,2.4568253306539116
-6.077617431786043,1.3450595321335763,2.0110437546202533
-6.864043527786925,1.1081767884885283,1.4831908256582564
-7.358485072342396,0.8167504689150958,1.0695355902782901
-7.660016106437489,0.5483895784671068,0.7854499973763477
-7.805429321938873,0.3698314788883975,0.6494269756376537
-7.843148668656723,0.279004025346928,0.6240182362842265
-7.8309774218183446,0.28242707030486564,0.73501487127398
-7.781566433851011,0.3962710270107419,0.9450163812945265
-7.409550493130697,0.7727199747991808,1.4114568009782242
-6.809143027492694,1.100635003133002,1.9600247710460155
-5.379243495959005,1.2971572840895123,3.02520817858131
-3.82775708100887,0.9515950697146424,3.5219608244566944
-2.373056783050939,0.1737536340332684,3.092170507720862
-1.0003753953450225,-0.6376764220075248,1.7985174561647643
-14.310155060457046,-1.274721501379772,-0.9565378445577165
-11.59076546169791,-0.3487975352773248,-4.096745379512989
-10.513637302060754,0.6854126102601615,-4.868643331885248
-9.228223483848579,1.9499200458913282,-5.054554466073668
-7.7593139581802815,2.5481557814865914,-4.500892990358071
-6.181783780373876,2.52549637714715,-3.519737352524857
-5.4498675880337775,2.208878959357124,-3.086590398985521
