-0.12, 0.07, 0.05, -0.02, 0.00, 0.01, 0.18, 0.15, -0.31, 0.00, -0.01, -0.01
-0.17, -0.04, 0.01, 0.02, 0.00, -0.02, 0.27, -0.07, -0.15, -0.02, -0.00, -0.00
-0.08, 0.17, 0.12, -0.01, 0.01, -0.01, 0.19, 0.18, -0.21, 0.03, 0.00, 0.01
-0.06, 0.03, 0.00, -0.02, 0.00, -0.01, 0.11, 0.02, -0.10, 0.01, -0.00, 0.00
-0.10, 0.04, 0.01, -0.03, -0.00, -0.01, 0.17, 0.02, -0.17, 0.02, -0.01, 0.01
-0.07, 0.10, 0.04, -0.03, -0.01, 0.01, 0.11, 0.12, -0.03, 0.03, -0.00, 0.00
0.00, 0.03, -0.04, -0.04, -0.02, -0.01, 0.08, 0.00, -0.07, 0.02, -0.01, 0.01
0.00, 0.10, -0.02, -0.04, -0.01, 0.01, 0.03, 0.22, -0.08, 0.01, -0.03, -0.00
-0.10, 0.01, -0.04, -0.02, -0.01, 0.00, 0.19, -0.06, -0.12, 0.01, -0.03, 0.00
-0.12, 0.03, -0.04, -0.03, -0.01, -0.00, 0.21, 0.04, -0.05, -0.02, -0.03, -0.01
0.01, 0.09, 0.00, -0.04, -0.04, 0.01, 0.09, 0.02, 0.00, 0.01, -0.02, 0.01
0.01, 0.10, 0.08, -0.05, -0.03, 0.01, 0.05, 0.17, -0.02, 0.01, -0.05, -0.01
-0.11, -0.03, -0.03, -0.02, -0.05, 0.02, 0.17, -0.09, -0.17, 0.01, -0.05, -0.01
-0.03, -0.08, 0.00, -0.03, -0.04, 0.02, 0.09, 0.07, -0.16, -0.02, -0.06, -0.02
-0.11, 0.08, 0.08, -0.04, -0.03, 0.03, 0.13, 0.13, -0.11, 0.04, -0.05, -0.01
0.08, 0.00, -0.05, -0.05, -0.07, 0.02, -0.03, 0.04, 0.03, 0.03, -0.09, -0.01
0.00, 0.00, -0.02, -0.08, -0.08, 0.04, 0.04, 0.04, 0.04, 0.03, -0.11, -0.02
-0.13, -0.10, -0.09, -0.10, -0.10, 0.03, 0.13, -0.02, 0.02, 0.05, -0.14, -0.01
-0.06, -0.09, -0.08, -0.10, -0.10, 0.02, 0.10, -0.01, 0.00, 0.04, -0.15, -0.01
0.14, -0.09, 0.05, -0.15, -0.12, 0.02, -0.10, 0.13, -0.04, 0.09, -0.15, -0.01
-0.08, -0.07, -0.03, -0.17, -0.12, 0.02, 0.12, 0.02, -0.05, 0.11, -0.16, -0.00
-0.14, 0.00, -0.13, -0.16, -0.15, 0.01, 0.20, 0.14, -0.03, 0.11, -0.18, 0.03
-0.02, 0.17, 0.17, -0.19, -0.14, 0.01, 0.04, 0.12, -0.22, 0.14, -0.17, 0.03
-0.12, -0.01, -0.06, -0.18, -0.14, 0.02, 0.16, -0.12, -0.12, 0.15, -0.18, 0.01
-0.03, 0.05, 0.21, -0.19, -0.13, 0.06, 0.00, -0.16, -0.17, 0.11, -0.19, -0.02
-0.07, -0.06, -0.04, -0.21, -0.14, 0.08, 0.11, -0.06, -0.12, 0.14, -0.20, -0.05
-0.08, -0.03, 0.09, -0.22, -0.13, 0.07, 0.14, -0.09, -0.23, 0.13, -0.19, -0.05
-0.11, 0.08, 0.07, -0.21, -0.10, 0.07, 0.15, 0.11, -0.33, 0.15, -0.17, -0.06
-0.05, 0.05, -0.01, -0.22, -0.08, 0.06, 0.09, 0.11, -0.16, 0.18, -0.14, -0.04
-0.14, 0.08, -0.01, -0.19, -0.08, 0.05, 0.20, -0.02, -0.15, 0.14, -0.13, -0.05
-0.22, -0.09, 0.08, -0.17, -0.04, 0.07, 0.21, -0.09, -0.18, 0.16, -0.11, -0.04
-0.19, -0.05, 0.04, -0.19, -0.03, 0.05, 0.17, -0.10, -0.11, 0.16, -0.09, -0.04
-0.19, -0.02, -0.16, -0.19, 0.00, 0.05, 0.26, 0.00, -0.03, 0.16, -0.07, -0.02
-0.08, 0.03, -0.12, -0.17, 0.02, 0.02, 0.13, 0.04, -0.10, 0.15, -0.03, -0.03
0.10, -0.02, -0.25, -0.13, 0.04, 0.01, -0.41, 0.08, -0.11, 0.13, 0.01, -0.01
-0.13, 0.32, -0.31, -0.10, 0.10, 0.03, 0.23, 0.37, -0.07, 0.01, 0.13, 0.05
0.19, 0.17, -0.14, 0.04, 0.13, 0.01, -0.06, -0.01, -0.07, -0.02, 0.10, -0.05
0.18, 0.59, 0.10, 0.09, 0.10, 0.13, -0.04, 0.62, 0.08, -0.11, 0.10, -0.09
-0.25, 0.47, 1.00, 0.21, 0.01, 0.24, 0.14, 0.10, -0.72, -0.24, -0.03, -0.10
-0.25, 0.04, 1.64, 0.40, -0.02, 0.09, 0.10, -0.56, -0.85, -0.64, -0.21, -0.16
-0.43, -0.21, 1.32, -0.19, -0.24, 0.00, 0.20, -0.50, -0.68, 0.13, -0.21, 0.00
-0.25, 0.36, 0.56, -0.27, -0.31, 0.10, 0.34, -0.04, -0.94, 0.19, -0.33, 0.05
0.06, 1.30, 0.26, -0.39, -0.26, 0.22, 0.17, 0.93, -0.32, 0.22, -0.30, -0.04
-0.59, -0.07, -0.56, -0.16, -0.25, 0.17, 0.73, 0.36, -0.16, 0.07, -0.30, -0.04
0.13, -0.45, -0.70, -0.15, -0.15, 0.22, -0.17, -0.68, 0.41, 0.00, -0.15, -0.04
-0.07, -0.81, -1.20, 0.04, -0.02, 0.15, -0.08, -0.01, 0.64, 0.00, -0.01, 0.01
0.05, -0.53, -1.03, 0.06, 0.05, 0.08, -0.02, -0.47, 0.51, 0.01, 0.09, -0.03
0.10, -0.11, -0.50, 0.18, 0.15, 0.17, 0.00, -0.07, 0.50, -0.29, 0.21, 0.05
-0.09, -0.10, 0.83, 0.32, 0.06, 0.09, 0.09, -0.09, -0.74, -0.39, 0.10, -0.07
-0.12, -0.12, 0.64, 0.31, -0.01, 0.03, 0.05, -0.14, -0.58, -0.43, 0.09, -0.09
-0.11, -0.11, 0.51, 0.34, -0.09, -0.03, -0.01, -0.38, -0.47, -0.48, 0.01, -0.12
0.07, 0.00, 0.05, 0.08, -0.04, -0.04, 0.00, 0.04, -0.47, 0.11, 0.01, -0.00
-0.01, 0.41, -0.25, 0.01, -0.01, -0.04, 0.24, 0.26, 0.00, -0.01, -0.02, 0.01
0.06, 0.15, 0.28, 0.05, -0.00, -0.03, 0.00, 0.02, -0.46, -0.01, -0.03, 0.01
0.11, 0.26, 0.00, -0.03, 0.00, -0.06, -0.02, 0.31, -0.28, 0.12, -0.01, 0.01
-0.09, 0.16, -0.08, -0.01, 0.01, -0.05, 0.20, 0.05, -0.21, 0.07, 0.00, 0.02
0.09, 0.21, -0.11, -0.02, 0.01, -0.03, 0.01, -0.05, -0.23, 0.04, 0.02, 0.01
0.00, 0.10, 0.00, -0.01, 0.05, -0.00, 0.02, -0.05, -0.12, 0.06, 0.01, -0.01
-0.02, 0.10, -0.01, -0.05, 0.03, -0.02, 0.06, -0.01, -0.13, 0.03, 0.02, -0.02
-0.01, -0.14, 0.11, 0.03, 0.03, 0.01, -0.01, -0.30, -0.14, 0.00, 0.02, -0.03
0.10, 0.04, -0.03, -0.03, 0.03, -0.00, -0.01, 0.10, -0.09, 0.04, 0.01, -0.02
0.11, 0.07, -0.07, -0.04, 0.02, -0.02, -0.07, 0.18, -0.02, 0.06, 0.00, -0.01
-0.06, -0.05, -0.10, -0.01, -0.01, -0.02, 0.08, 0.02, -0.04, 0.06, -0.03, 0.02
-0.01, -0.08, -0.03, -0.01, -0.00, -0.01, 0.00, -0.24, -0.11, -0.03, -0.01, 0.01
-0.10, 0.00, 0.00, 0.00, -0.01, 0.01, 0.12, -0.02, -0.23, 0.02, -0.00, 0.01
0.05, -0.06, -0.12, -0.00, 0.02, 0.00, 0.00, -0.08, -0.04, 0.04, 0.00, -0.01
0.09, 0.05, -0.14, -0.01, -0.00, -0.01, 0.00, 0.01, 0.00, 0.01, -0.01, 0.01
0.04, 0.14, 0.03, -0.04, -0.02, -0.04, 0.02, 0.35, -0.10, 0.03, -0.02, 0.02
0.00, -0.05, -0.02, 0.01, -0.02, -0.04, 0.02, -0.15, -0.14, 0.00, -0.02, 0.03
-0.12, -0.14, -0.06, -0.01, -0.02, -0.05, 0.13, -0.20, -0.17, -0.01, -0.03, 0.03
-0.04, 0.10, 0.04, -0.01, -0.01, -0.03, 0.07, -0.09, -0.24, 0.01, -0.00, 0.02
0.01, 0.01, 0.00, -0.01, 0.01, -0.02, 0.07, -0.11, -0.15, -0.01, 0.01, 0.02
0.10, 0.07, 0.06, -0.01, 0.02, -0.00, -0.06, 0.02, -0.13, 0.03, 0.01, -0.01
0.05, 0.00, -0.02, -0.02, -0.01, -0.02, -0.03, 0.02, -0.11, 0.02, -0.01, 0.01
0.01, -0.01, -0.12, -0.02, 0.01, -0.03, 0.07, 0.04, -0.05, 0.01, -0.01, 0.00
-0.15, 0.09, -0.06, -0.01, 0.00, -0.03, 0.22, 0.13, -0.09, 0.03, -0.00, 0.02
-0.16, -0.09, -0.05, -0.01, 0.01, -0.04, 0.16, -0.12, -0.11, 0.01, 0.00, 0.02
0.06, -0.01, -0.04, -0.01, 0.02, -0.02, -0.04, -0.06, -0.15, 0.04, -0.00, 0.02
0.19, 0.00, 0.05, -0.02, -0.02, -0.03, -0.19, -0.02, -0.07, 0.04, -0.00, 0.01
0.08, 0.00, -0.05, -0.03, -0.01, -0.02, 0.00, 0.02, -0.13, 0.01, -0.02, -0.00
-0.01, -0.01, -0.09, -0.01, -0.03, -0.01, 0.06, 0.06, -0.05, -0.01, -0.04, 0.00
0.01, -0.14, -0.08, -0.03, -0.05, -0.03, -0.09, -0.20, 0.09, 0.00, -0.06, -0.01
0.22, 0.08, 0.05, -0.03, -0.09, 0.01, -0.21, -0.03, 0.10, 0.03, -0.09, -0.02
0.13, -0.02, -0.11, -0.04, -0.09, 0.04, -0.20, -0.13, 0.10, 0.01, -0.13, -0.06
0.04, -0.28, -0.02, -0.13, -0.12, 0.06, -0.14, -0.37, 0.16, 0.05, -0.17, -0.06
0.01, -0.03, 0.01, -0.19, -0.15, 0.09, -0.05, 0.03, 0.00, 0.11, -0.19, -0.05
0.00, 0.00, 0.00, -0.15, -0.15, 0.07, 0.02, -0.09, -0.12, 0.12, -0.21, -0.05
0.03, -0.10, 0.05, -0.21, -0.15, 0.07, -0.07, -0.05, -0.06, 0.13, -0.21, -0.05
0.08, 0.09, 0.05, -0.24, -0.16, 0.07, -0.07, 0.08, -0.06, 0.16, -0.22, -0.07
-0.01, 0.00, 0.01, -0.16, -0.17, 0.11, -0.01, -0.06, -0.16, 0.10, -0.24, -0.08
0.06, 0.02, 0.18, -0.18, -0.17, 0.10, -0.03, 0.00, -0.30, 0.08, -0.24, -0.10
-0.09, -0.13, 0.09, -0.26, -0.14, 0.08, 0.06, 0.02, -0.33, 0.20, -0.21, -0.07
-0.04, 0.04, 0.02, -0.19, -0.14, 0.05, 0.02, 0.02, -0.29, 0.16, -0.20, -0.04
-0.10, 0.18, 0.08, -0.14, -0.12, 0.06, 0.19, 0.19, -0.37, 0.09, -0.16, -0.04
-0.05, 0.33, 0.15, -0.00, -0.14, 0.06, 0.09, 0.48, -0.29, -0.13, -0.10, -0.04
-0.16, -0.26, 0.14, 0.08, -0.07, 0.07, 0.15, -0.42, -0.52, 0.05, -0.09, -0.06
-0.05, 0.32, 0.33, -0.09, -0.02, 0.01, 0.17, 0.44, -0.48, 0.02, -0.05, -0.01
-0.22, 0.13, 0.14, -0.00, 0.01, -0.02, 0.21, 0.35, -0.54, 0.04, 0.03, 0.02
-0.17, 0.11, 0.09, 0.09, 0.05, -0.06, 0.19, 0.16, -0.57, -0.01, 0.09, 0.04
-0.25, 0.35, 0.24, 0.19, 0.10, -0.08, 0.34, 0.15, -0.73, -0.12, 0.16, 0.06
-0.34, 0.37, 0.41, 0.25, 0.21, -0.14, 0.46, 0.55, -1.08, -0.15, 0.29, 0.08
-0.32, -0.08, 0.28, 0.43, 0.33, -0.18, 0.37, 0.15, -1.19, -0.20, 0.47, 0.15
-0.36, 0.19, 0.29, 0.40, 0.48, -0.25, 0.32, 0.02, -0.86, -0.25, 0.63, 0.20
-0.03, 0.06, 0.13, 0.43, 0.60, -0.27, -0.15, 0.00, -0.34, -0.19, 0.73, 0.22
-0.09, 0.00, -0.35, 0.45, 0.61, -0.31, -0.05, -0.10, 0.42, -0.21, 0.73, 0.22
0.13, 0.09, 0.06, 0.43, 0.58, -0.28, -0.38, 0.09, 0.42, -0.20, 0.68, 0.21
0.27, -0.21, -0.31, 0.46, 0.48, -0.28, -0.43, -0.29, 0.70, -0.27, 0.60, 0.18
0.17, -0.31, 0.03, 0.39, 0.42, -0.22, -0.37, -0.29, 0.56, -0.20, 0.50, 0.16
0.30, -0.41, -0.17, 0.38, 0.31, -0.21, -0.47, -0.49, 0.74, -0.28, 0.36, 0.12
0.44, -0.30, -0.07, 0.30, 0.18, -0.14, -0.46, -0.24, 0.52, -0.21, 0.27, 0.10
0.20, -0.18, -0.14, 0.23, 0.08, -0.10, -0.27, -0.14, 0.35, -0.13, 0.19, 0.07
0.08, -0.15, -0.11, 0.22, 0.06, -0.03, -0.08, 0.05, 0.29, -0.12, 0.10, 0.02
0.07, -0.12, 0.03, 0.16, -0.00, -0.02, -0.03, -0.15, -0.02, -0.15, 0.04, 0.00
0.02, -0.08, -0.15, -0.06, -0.12, 0.04, 0.08, -0.07, 0.00, -0.13, 0.01, -0.02
-0.05, -0.08, -0.08, 0.06, -0.05, 0.01, 0.08, 0.07, -0.01, -0.09, -0.01, -0.04
-0.05, -0.03, 0.03, 0.07, -0.03, 0.00, 0.07, -0.01, -0.14, -0.06, -0.01, -0.02
-0.21, -0.19, -0.20, 0.16, 0.03, 0.01, 0.25, -0.12, -0.01, -0.06, -0.01, -0.03
-0.02, 0.06, -0.02, 0.03, 0.01, 0.00, 0.09, 0.16, -0.03, 0.03, 0.00, -0.02
0.01, 0.02, -0.03, 0.02, 0.03, 0.01, 0.07, 0.07, -0.04, -0.02, -0.01, -0.02
-0.05, -0.03, -0.07, 0.03, 0.01, -0.00, 0.13, 0.08, -0.04, -0.02, -0.02, -0.02
