@relation Gestures

@attribute Max_AcclX_wrist numeric
@attribute Max_AcclY_wrist numeric
@attribute Max_AcclZ_wrist numeric
@attribute Max_GyroX_wrist numeric
@attribute Max_GyroY_wrist numeric
@attribute Max_GyroZ_wrist numeric
@attribute Min_AcclX_wrist numeric
@attribute Min_AcclY_wrist numeric
@attribute Min_AcclZ_wrist numeric
@attribute Min_GyroX_wrist numeric
@attribute Min_GyroY_wrist numeric
@attribute Min_GyroZ_wrist numeric
@attribute Mean_AcclX_wrist numeric
@attribute Mean_AcclY_wrist numeric
@attribute Mean_AcclZ_wrist numeric
@attribute Mean_GyroX_wrist numeric
@attribute Mean_GyroY_wrist numeric
@attribute Mean_GyroZ_wrist numeric
@attribute Var_AcclX_wrist numeric
@attribute Var_AcclY_wrist numeric
@attribute Var_AcclZ_wrist numeric
@attribute Var_GyroX_wrist numeric
@attribute Var_GyroY_wrist numeric
@attribute Var_GyroZ_wrist numeric
@attribute ZeroCrossCount_AcclX_wrist numeric
@attribute ZeroCrossCount_AcclY_wrist numeric
@attribute ZeroCrossCount_AcclZ_wrist numeric
@attribute ZeroCrossCount_GyroX_wrist numeric
@attribute ZeroCrossCount_GyroY_wrist numeric
@attribute ZeroCrossCount_GyroZ_wrist numeric
@attribute Median_AcclX_wrist numeric
@attribute Median_AcclY_wrist numeric
@attribute Median_AcclZ_wrist numeric
@attribute Median_GyroX_wrist numeric
@attribute Median_GyroY_wrist numeric
@attribute Median_GyroZ_wrist numeric
@attribute Max_AcclX_bicep numeric
@attribute Max_AcclY_bicep numeric
@attribute Max_AcclZ_bicep numeric
@attribute Max_GyroX_bicep numeric
@attribute Max_GyroY_bicep numeric
@attribute Max_GyroZ_bicep numeric
@attribute Min_AcclX_bicep numeric
@attribute Min_AcclY_bicep numeric
@attribute Min_AcclZ_bicep numeric
@attribute Min_GyroX_bicep numeric
@attribute Min_GyroY_bicep numeric
@attribute Min_GyroZ_bicep numeric
@attribute Mean_AcclX_bicep numeric
@attribute Mean_AcclY_bicep numeric
@attribute Mean_AcclZ_bicep numeric
@attribute Mean_GyroX_bicep numeric
@attribute Mean_GyroY_bicep numeric
@attribute Mean_GyroZ_bicep numeric
@attribute Var_AcclX_bicep numeric
@attribute Var_AcclY_bicep numeric
@attribute Var_AcclZ_bicep numeric
@attribute Var_GyroX_bicep numeric
@attribute Var_Gyro_bicep numeric
@attribute Var_GyroZ_bicep numeric
@attribute ZeroCrossCount_AcclX_bicep numeric
@attribute ZeroCrossCount_AcclY_bicep numeric
@attribute ZeroCrossCount_AcclZ_bicep numeric
@attribute ZeroCrossCount_GyroX_bicep numeric
@attribute ZeroCrossCount_GyroY_bicep numeric
@attribute ZeroCrossCount_GyroZ_bicep numeric
@attribute Median_AcclX_bicep numeric
@attribute Median_AcclY_bicep numeric
@attribute Median_AcclZ_bicep numeric
@attribute Median_GyroX_bicep numeric
@attribute Median_GyroY_bicep numeric
@attribute Median_GyroZ_bicep numeric
@attribute result {putt,iron,drive}

@data
2.61,10.47,11.64,8.06,1.95,4.16,-9.56,-5.02,-0.78,-3.19,-0.39,-1.32,-0.439298,0.210263,0.756316,-0.048684,0.040789,0.073684,2.253726,3.017739,5.075028,3.61903,0.14525,0.628778,22,27,27,10,16,10,1.205,5.23,5.825,3.885,0.965,2.08,2.39,5.27,2.84,2.11,6.47,4,-14.19,-6.58,-17.450001,-6.11,-2.72,-7,-1.021667,-0.313421,-1.276053,0.094825,0.009474,-0.035088,9.631555,2.973875,13.460252,1.331234,2.821518,1.494944,21,34,20,16,12,4,1.195,2.635,1.335,1.185,3.175,2,iron
5.1,18.9,32.32,14.28,4.27,7.81,-15.2,-5.5,-2.51,-3.62,-2.22,-3.3,-0.515664,0.356726,1.722213,0.192124,0.013274,0.068496,8.622529,7.367574,27.108843,7.77274,0.973215,2.142064,23,26,18,20,15,24,0.02,-0.11,-0.02,-0.01,-0,-0.02,2.83,14.63,3.27,2.02,9.91,7,-36.400002,-19.530001,-34.950001,-14.73,-2.89,-10,-2.563452,-0.563805,-2.552213,-0.095133,0.192655,0.123894,53.152386,10.95846,45.430058,3.562569,5.132577,4.127233,10,21,10,26,16,3,0.18,0.12,-0.47,0.02,-0.01,0,drive
0.5,0.4,0.33,0.54,0.57,0.15,-0.37,-0.39,-0.29,-0.26,-0.23,-0.3,-0.020169,-0.01661,0.033814,0.001186,-0.004746,-0.001102,0.01886,0.019927,0.015727,0.025695,0.022801,0.004907,36,39,38,16,8,14,0.235,0.19,0.175,0.26,0.275,0.08,0.39,0.68,0.89,0.17,0.69,-0,-0.6,-0.55,-0.74,-0.31,-0.28,-0,0.046017,0.002966,-0.105678,-0.002627,-0.00822,0,0.028453,0.032528,0.06947,0.010516,0.036174,0,26,40,16,20,8,0,0.225,0.34,0.385,0.09,0.33,0,putt
2.46,8.69,28.68,11.18,6.58,9.75,-21.889999,-4.97,-2.06,-2.68,-2.15,-2.84,-0.816106,-0.082478,1.689735,-0.131593,0.085221,0.051947,12.237135,2.23003,25.276957,6.108078,1.557147,3.20867,15,28,24,8,13,16,-0.03,-0.17,0.26,-0.5,-0.03,-0.03,1.94,8.07,3.94,2.78,10.31,8,-37.860001,-8.76,-36.59,-13.37,-3.41,-7,-3.129115,-0.096283,-2.319381,0.178761,0.021858,0.026549,59.451805,4.940022,48.352421,4.126056,5.515758,3.97155,12,25,13,20,10,4,-0.82,0.22,-0.25,0.38,-0.3,0,drive
6.71,7.03,17.620001,11.54,3.28,3.68,-5.67,-5.67,-1.78,-3.82,-1.11,-3.52,-0.082193,0.047982,1.156579,-0.050614,0.07114,0.11693,2.025899,2.971879,11.040227,6.180946,0.328731,0.917161,25,28,16,16,20,12,3.355,3.47,8.945001,5.695,1.635,1.85,2.4,8.45,3.31,3.19,8.08,6,-25.860001,-7.31,-28.889999,-8.15,-3.2,-7,-2.119386,-0.450088,-1.867807,0.077895,-0.049123,-0.061404,26.096567,3.901736,28.924694,2.422605,4.048812,2.856744,18,36,11,20,10,4,1.045,4.15,1.665,1.675,3.965,3,iron
0.51,0.37,0.73,0.29,0.36,0.13,-0.59,-0.45,-0.26,-0.35,-0.23,-0.16,-0.051356,-0.016864,0.038814,-0.021864,-0.012881,0.000339,0.016908,0.018954,0.016188,0.013816,0.010129,0.002543,36,42,58,21,23,19,0.23,0.17,0.375,0.145,0.175,0.065,0.52,0.84,0.97,0.27,0.41,-0,-0.52,-0.54,-0.89,-0.24,-0.28,-0,0.062542,0.011525,-0.124492,0.016102,-0.021525,0,0.02432,0.030263,0.048196,0.007896,0.0156,0,38,47,10,21,14,0,0.295,0.42,0.42,0.135,0.2,0,putt
6.08,10.24,15.02,10.09,2.96,4.02,-5.52,-6.43,-1.13,-3.86,-1.03,-3.59,-0.059912,0.156053,1.238245,-0.02921,0.046842,0.025088,1.921701,3.414399,11.133083,6.387452,0.307347,0.901603,26,19,21,16,21,14,2.97,5.115,7.555,5,1.48,2.01,1.96,10.46,2.57,3.23,7.86,6,-24.469999,-8.84,-23.360001,-8.64,-3.47,-8,-1.980789,-0.444912,-1.864211,0.093158,0.007895,0,23.303631,5.328357,24.827158,2.508658,4.235058,2.539823,22,30,26,20,10,4,0.89,5.2,1.26,1.695,3.905,3,iron
4.47,11.3,25.16,12.04,5.59,6.92,-16.9,-3.52,-1.47,-2.65,-1.91,-3.32,-0.280088,0.321947,1.646549,-0.078584,0.034248,0.255575,5.81736,4.401481,22.257137,6.587392,1.380541,1.726425,26,32,32,11,17,14,0.03,-0.07,0.26,-0.59,-0.14,0.16,2.22,6.85,3.58,4.23,11.14,7,-39.259998,-13.46,-34.310001,-14,-2.64,-8,-2.745487,-0.401327,-2.299734,-0.008407,-0.003009,-0.017699,50.391022,7.413848,40.036877,4.009366,5.302481,3.499681,22,36,22,26,7,4,-0.45,-0.03,-0.43,0.16,-0.26,-0,drive
0.89,0.57,0.37,0.38,0.31,0.08,-0.56,-0.42,-0.24,-0.2,-0.13,-0.16,-0.02916,-0.023866,0.00916,-0.002521,0.004958,-0.005378,0.022399,0.019487,0.013477,0.013557,0.006395,0.002618,47,46,59,16,18,22,-0.04,-0.03,0.01,-0.01,-0.01,0.01,0.54,0.39,0.57,0.21,0.4,-0,-1.91,-0.54,-0.54,-0.24,-0.16,-0,0.021261,-0.022605,-0.064034,0.004034,0.003782,0,0.053854,0.027364,0.038142,0.007013,0.011421,0,54,46,32,23,18,0,0.03,-0.02,-0.08,0.01,-0.01,0,putt
5.77,9.17,14.63,10.1,2.66,4.26,-6.14,-5.91,-1.7,-3.36,-0.95,-2.88,-0.057876,0.004425,0.928142,-0.028319,0.039735,0.114159,2.108125,2.727637,7.754485,5.475845,0.246606,0.796427,32,20,19,14,14,14,0,-0.06,-0.07,-0.31,-0,0.02,2.43,10.95,3.34,3.71,7.33,5,-22.139999,-7.27,-28.02,-7.44,-2.87,-7,-1.864779,-0.302124,-1.713009,0.096991,-0.010442,-0.079646,19.480967,5.70504,23.571777,2.180525,3.664701,2.541031,18,33,14,16,12,4,-0.42,-0.15,0,0.27,-0.16,0,iron
